No.;Kode Provinsi;Provinsi;Kode Kabupaten/Kota (BPS);Kabupaten/Kota;Kode Kecamatan (BPS);Kecamatan;Kode Kecamatan (Kemendagri);Nama Kecamatan (Kemendagri);Jumlah Rumah Tangga;Satuan;Tahun
1;32;JAWA BARAT;3201;KABUPATEN BOGOR;3201140;BABAKAN MADANG;320105;BABAKAN MADANG;18.887;Rumah Tangga;2020
2;32;JAWA BARAT;3201;KABUPATEN BOGOR;3201140;BABAKAN MADANG;320105;BABAKAN MADANG;91.636;Rumah Tangga;2021
3;32;JAWA BARAT;3201;KABUPATEN BOGOR;3201140;BABAKAN MADANG;320105;BABAKAN MADANG;91.348;Rumah Tangga;2022
4;32;JAWA BARAT;3201;KABUPATEN BOGOR;3201140;BABAKAN MADANG;320105;BABAKAN MADANG;47.348;Rumah Tangga;2023
5;32;JAWA BARAT;3201;KABUPATEN BOGOR;3201220;BOJONG GEDE;320113;BOJONG GEDE;25.752;Rumah Tangga;2020
6;32;JAWA BARAT;3201;KABUPATEN BOGOR;3201220;BOJONG GEDE;320113;BOJONG GEDE;71.866;Rumah Tangga;2021
7;32;JAWA BARAT;3201;KABUPATEN BOGOR;3201220;BOJONG GEDE;320113;BOJONG GEDE;71.485;Rumah Tangga;2022
8;32;JAWA BARAT;3201;KABUPATEN BOGOR;3201220;BOJONG GEDE;320113;BOJONG GEDE;72.720;Rumah Tangga;2023
9;32;JAWA BARAT;3201;KABUPATEN BOGOR;3201090;CARINGIN;320127;CARINGIN;58.309;Rumah Tangga;2020
10;32;JAWA BARAT;3201;KABUPATEN BOGOR;3201090;CARINGIN;320127;CARINGIN;68.239;Rumah Tangga;2021
11;32;JAWA BARAT;3201;KABUPATEN BOGOR;3201090;CARINGIN;320127;CARINGIN;68.037;Rumah Tangga;2022
12;32;JAWA BARAT;3201;KABUPATEN BOGOR;3201090;CARINGIN;320127;CARINGIN;92.553;Rumah Tangga;2023
13;32;JAWA BARAT;3201;KABUPATEN BOGOR;3201160;CARIU;320108;CARIU;10.619;Rumah Tangga;2020
14;32;JAWA BARAT;3201;KABUPATEN BOGOR;3201160;CARIU;320108;CARIU;86.629;Rumah Tangga;2021
