Kecamatan,RT_2020,RT_2021,RT_2022,RT_2023,Ukuran_Pasar_2023,Rata_Rata_Konsumen,Pertumbuhan_Pasar_Pct,Cluster,Nama_Segmen
BABAKAN MADANG,18.887,91.636,91.348,47.348,47.348,62.30475,150.69095144808597,2,Pasar Perintis / Skala Terbatas (Tier 3)
BOJONG GEDE,25.752,71.866,71.485,72.72,72.72,60.45575,182.38583410997208,1,Pusat Perdagangan Terbentuk / Skala Besar (Tier 2)
CARINGIN,58.309,68.239,68.037,92.553,92.553,71.78450000000001,58.72849817352381,1,Pusat Perdagangan Terbentuk / Skala Besar (Tier 2)
CARIU,10.619,86.629,86.518,30.001,30.001,53.441750000000006,182.52189471701666,2,Pasar Perintis / Skala Terbatas (Tier 3)
CIAMPEA,43.313,62.17,62.172,91.955,91.955,64.9025,112.30346547226004,1,Pusat Perdagangan Terbentuk / Skala Besar (Tier 2)
CIAWI,29.955,77.344,76.978,65.184,65.184,62.365249999999996,117.60640961442164,1,Pusat Perdagangan Terbentuk / Skala Besar (Tier 2)
CIBINONG,31.869,46.932,47.074,124.537,124.537,62.603,290.77787191314445,0,Hub Komersial & Pertumbuhan Agresif (Tier 1)
CIBUNGBULANG,46.964,105.482,105.567,88.939,88.939,86.738,89.37696959373136,1,Pusat Perdagangan Terbentuk / Skala Besar (Tier 2)
CIGOMBONG,30.163,36.472,36.221,49.443,49.443,38.074749999999995,63.919371415310145,2,Pasar Perintis / Skala Terbatas (Tier 3)
CIGUDEG,52.488,59.651,59.663,99.262,99.262,67.766,89.11370217954581,1,Pusat Perdagangan Terbentuk / Skala Besar (Tier 2)
CIJERUK,36.16,110.948,110.559,59.111,59.111,79.1945,63.47068584070797,1,Pusat Perdagangan Terbentuk / Skala Besar (Tier 2)
CILEUNGSI,17.684,131.724,131.665,64.809,64.809,86.47049999999999,266.4838271884189,1,Pusat Perdagangan Terbentuk / Skala Besar (Tier 2)
CIOMAS,20.744,53.991,54.118,73.186,73.186,50.509750000000004,252.8056305437717,0,Hub Komersial & Pertumbuhan Agresif (Tier 1)
CISARUA,28.711,59.817,59.521,46.105,46.105,48.53849999999999,60.5830517919961,2,Pasar Perintis / Skala Terbatas (Tier 3)
CISEENG,31.974,57.386,56.952,61.931,61.931,52.06075,93.69174954650653,2,Pasar Perintis / Skala Terbatas (Tier 3)
CITEUREUP,25.637,91.335,90.909,102.047,102.047,77.482,298.04579318953074,0,Hub Komersial & Pertumbuhan Agresif (Tier 1)
DRAMAGA,26.996,79.516,79.084,62.904,62.904,62.125,133.01229811823976,1,Pusat Perdagangan Terbentuk / Skala Besar (Tier 2)
GUNUNG PUTRI,13.819,71.891,72.357,96.284,96.284,63.58775,596.750850278602,0,Hub Komersial & Pertumbuhan Agresif (Tier 1)
GUNUNG SINDUR,13.819,58.89,58.744,41.117,41.117,43.1425,197.53961936464285,2,Pasar Perintis / Skala Terbatas (Tier 3)
JASINGA,50.395,41.71,41.966,77.154,77.154,52.80625,53.09852167873795,1,Pusat Perdagangan Terbentuk / Skala Besar (Tier 2)
